"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYP4F11",4.11021597783333,6.60604839708333,13.2179636570229,5.20646596041497e-09,5.2803540901739e-05,9.72267281010133
"CXCL5",4.23600382583333,7.80293945958333,12.9836531060116,6.49450106410909e-09,5.2803540901739e-05,9.57160872058359
"DEFB4A",7.1572542835,8.67287248508333,11.5157397313114,2.81935355315244e-08,0.000152818360426039,8.52420170794694
"CXCL2",3.32457503116667,6.77678209791667,10.6765818137236,7.01157200260523e-08,0.000285037930835909,7.83759797483662
"CXCL8",3.71746312033334,6.66213901633333,10.33799449335,1.02951910181117e-07,0.000334820202291028,7.54022118441809
"LCN2",3.42073885666666,12.9004250016667,10.059695310151,1.42245035016477e-07,0.00038550775240049,7.28645541188975
"CCL20",4.52971777599999,9.76727143533333,9.57962299153787,2.5266476422294e-07,0.00058694024728989,6.82792193696322
"CXCL1",2.43464280766666,8.90737380866667,8.89670436146217,5.94906976928012e-07,0.0012092227939783,6.12740090132474
"LAIR2",3.14848486016666,6.78050962091667,8.49608336521161,1.00584974306419e-06,0.00181734696355186,5.68831435063864
"SAA2",2.733086832,6.34576931116667,8.00475961830162,1.96308170002588e-06,0.00305462954904601,5.11958284147857
"LTF",3.2182056485,10.6451893674167,7.96792206799986,2.06635047288027e-06,0.00305462954904601,5.07555191020819
"ASRGL1",1.55090529383333,8.07470548375,7.47625454488036,4.16116894257394e-06,0.00556295391214177,4.4686427794435
"TEF",-1.24343698866667,8.87941458316667,-7.43060324930873,4.44735261409772e-06,0.00556295391214177,4.41044159904512
"PI3",5.68031855833333,9.89828269366667,7.06826534573423,7.611472001226e-06,0.00801246730368981,3.9370428810871
"S100A8",3.230040075,7.7492390915,7.0452660508651,7.88007718744151e-06,0.00801246730368981,3.9062994939511
"IRAK3",1.53980733433333,8.45961818516667,7.04494794636815,7.88386180794767e-06,0.00801246730368981,3.90587369350485
"C5AR1",0.793376542666665,5.8616779065,6.88932408410488,9.98735864853131e-06,0.0095532022931628,3.69563404852374
"CXCL6",1.36577174883333,6.10881995841667,6.69385061550321,1.35033881157448e-05,0.0117746367727705,3.42606457321043
"PER1",-0.796040107000003,5.84345522216667,-6.6818549183705,1.37579545343238e-05,0.0117746367727705,3.40932109876268
"AQP9",2.23191630316667,5.78218469625,6.61515948359481,1.52688075293682e-05,0.0122519300232543,3.31580300550076
"MNDA",1.76943379116666,7.11134291408333,6.58799289753068,1.59335273858807e-05,0.0122519300232543,3.27750396978316
"IGSF6",1.78806685866666,8.93402569183333,6.56284846313896,1.65760076570688e-05,0.0122519300232543,3.24194878300406
"PIGR",1.40265171166667,12.8909289125,6.48214585705303,1.88292975444162e-05,0.0123419804369189,3.12713639449505
"SERPINA3",3.713566098,10.4572911543333,6.47426750579521,1.90659554553373e-05,0.0123419804369189,3.11587124622414
"ADAMDEC1",1.46810415866667,6.7830930905,6.43819268270943,2.01903632126445e-05,0.0123419804369189,3.06415880024538
"PIM2",1.71611366633333,9.11042312916667,6.43287234754582,2.03620177936397e-05,0.0123419804369189,3.05651421676426
