"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00347",-1.72337951432182,2.71722445738804,-9.50372370635703,5.49731210039582e-08,0.00120061296272645,7.7430884615068
"UGT3A2",-1.91793220721043,2.89709236998518,-6.90749860467858,3.50447942981808e-06,0.0382689153736134,4.40512322633216
"EPOP",3.45855299398243,5.26632129371597,6.56044005469887,6.52523061344108e-06,0.0383775025645457,3.87648829276028
"MMEL1",-2.31570858148333,4.69266642784778,-6.43935839287907,8.13708837566261e-06,0.0383775025645457,3.68724516144382
"C2",1.72339119277839,7.27817011172913,6.39752721328662,8.78605827942897e-06,0.0383775025645457,3.62128703975328
"CD33",1.49896378183517,5.8650748721861,6.26482006891321,1.12254808755883e-05,0.0408607503871413,3.41007542689775
"OR5L1",-1.56212061351408,3.20821401865083,-6.15816406489641,1.36925643778071e-05,0.0427208008587583,3.23816817821345
"LRP8",2.74028671416275,4.67002345779436,5.9832031498723,1.90316471518471e-05,0.0474076045516592,2.95202913428726
"MIR181A1HG",1.53469803334193,3.53156399106191,5.91465097817639,2.16766919832274e-05,0.0474076045516592,2.83852384811528
"LINC02806",-2.62296971027924,3.27895792384337,-5.88546515526567,2.29159608922644e-05,0.0474076045516592,2.78996322909464
"KCNJ2",2.01855155057312,6.14701455757108,5.86392708894995,2.38774565049565e-05,0.0474076045516592,2.75403714476828
"TMC6",2.10753284279714,7.60862900767672,5.7796323527189,2.80612748174984e-05,0.0493168629389029,2.61269853364336
"SAA1",4.48315476918897,5.76190627073348,5.72173960710918,3.13691124060595e-05,0.0493168629389029,2.51495661949953
"SPATA41",-1.53643085308507,4.13632474050398,-5.71771842679222,3.16133736787839e-05,0.0493168629389029,2.5081473411678
"ZNF230",-0.877375351312017,5.98569338169156,-5.66176206517517,3.5224307115541e-05,0.0512865911602277,2.41312241418746
"PIEZO1",1.47240180286591,6.82117157244946,5.5938194581096,4.01897406297685e-05,0.0525293599410039,2.29706665456001
"ADGRE2",3.52679888650281,5.40784568551595,5.58496497088334,4.08882380493162e-05,0.0525293599410039,2.28188767783981
"ZNF416",-0.843904023090825,6.27328317054155,-5.53371964122574,4.51849662480941e-05,0.0527052052621181,2.19379538756054
"NETO2",2.82816111084658,5.10422768806267,5.50848327850822,4.74699373759081e-05,0.0527052052621181,2.15026113348333
"HGF",1.62425564248484,3.654977637562,5.49322921602721,4.89086842942255e-05,0.0527052052621181,2.12389851670729
"PID1",-1.40803749272191,7.58002191259206,-5.47300162130685,5.08863363174984e-05,0.0527052052621181,2.0888843898155
"LOC100126784",-0.986414839823389,2.83405236974791,-5.4152917877317,5.69955381429906e-05,0.0527052052621181,1.98863889327565
"ENSG00000271949",1.9020301558688,3.73661115267776,5.41000727927692,5.75915681617326e-05,0.0527052052621181,1.9794336685527
"C4B",3.21816801787944,8.2081093120757,5.38234104369917,6.0818732382366e-05,0.0527052052621181,1.93117115285491
"NLRP3",1.37174361638603,4.09589710276058,5.34188619473797,6.58773452862591e-05,0.0527052052621181,1.86038907734104
"GALNTL6",-2.02786492536315,4.15674314880052,-5.31899910895202,6.89296208483149e-05,0.0527052052621181,1.82023462501155
"WFDC2",2.29898319787661,9.08595367420037,5.31097724058336,7.00336528669943e-05,0.0527052052621181,1.80614189073904
"FLJ31356",-2.49003027684337,3.46529456401999,-5.29740526397589,7.19432518185752e-05,0.0527052052621181,1.78227676561928
"IGHA1",3.37272571232042,16.5889169917789,5.27653832196433,7.4984647463312e-05,0.0527052052621181,1.7455302833035
"DNAL4",-0.607333377834542,4.74280429929034,-5.22223489404634,8.35366914430778e-05,0.0527052052621181,1.64959916753073
"C17orf58",-1.2406579597077,7.40661834632087,-5.18517646586482,8.99447511903475e-05,0.0527052052621181,1.58388359219935
"IGLL1",1.59712439370699,9.9856211927816,5.17627521625511,9.15580246564231e-05,0.0527052052621181,1.56806922623877
"DEFB134",-0.778002344174915,2.68578651526428,-5.16947551984898,9.28104703815557e-05,0.0527052052621181,1.55598083521852
"POLR3G",1.55257582862046,4.41988636143862,5.15487732697934,9.55592895923057e-05,0.0527052052621181,1.53000582353672
"IGLC1",3.4488180386669,15.6384996513731,5.15252189249414,9.60106083433127e-05,0.0527052052621181,1.52581184724134
"TTL",0.942662812145509,10.6043219171525,5.1481478301786,9.68545426294532e-05,0.0527052052621181,1.51802147883195
"IL20RB",1.15603721540804,5.39193965422902,5.13404412553255,9.96281118550407e-05,0.0527052052621181,1.49288354265579
"IGLC2",3.03904008975931,15.3805742171356,5.11799586342266,0.000102883763795141,0.0527052052621181,1.46424507940893
"HLA-DRB3",2.26745128033619,11.9455972928008,5.10149103179579,0.000106346405933611,0.0527052052621181,1.43475361061736
"SRCIN1",-0.657152330320308,2.8484692606903,-5.09807701301987,0.000107077497810164,0.0527052052621181,1.42864848825394
"PACSIN1",2.95158546045899,4.82041359464549,5.08024862133191,0.000110980245333351,0.0527052052621181,1.39674010630997
"NME8",1.92786736091504,4.75894763098978,5.07141932149327,0.000112966931490931,0.0527052052621181,1.38092129336981
