"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LBP",4.51797089005245,5.98289974421394,12.2785617304931,4.52153726744879e-12,3.32496820974168e-09,17.7112092251831
"FGFR1",4.3546642743203,6.16490974080169,11.9720935783819,7.77770341460043e-12,3.32496820974168e-09,17.1763228229348
"LTF",4.00056298198596,5.42071863950599,11.4785872394645,1.90279026771817e-11,4.27823788118528e-09,16.2922058103833
"BAMBI",4.20230574598452,5.40485397967495,11.451118697533,2.00151479821533e-11,4.27823788118528e-09,16.2421520555008
"TNFRSF1B",4.12122541311654,5.84087119306393,11.2815469713717,2.74022941873507e-11,4.68579230603697e-09,15.9311502228366
"SLAMF1",4.70765309232576,4.92704258591786,11.1300093282894,3.63833094457053e-11,5.18462159601301e-09,15.6502791460837
"IL18RAP",4.38180839224488,3.71591292336909,10.9437861982618,5.17327161636099e-11,6.31878175998378e-09,15.301266665937
"ICOSLG",3.38291514018645,5.97253642200343,10.8178092514366,6.57911179994881e-11,6.63736495971891e-09,15.0627300166599
"CD180",4.30126494398233,3.70524444142393,10.7864613289634,6.98669995759885e-11,6.63736495971891e-09,15.0030651171745
"ADAM12",4.233794450772,3.94531630364394,10.6615527072343,8.88770751385559e-11,7.59898992434653e-09,14.7640992034403
"EDAR",3.52735519136302,5.52284994491935,10.489682224264,1.24142959492675e-10,9.64929366965794e-09,14.4320630618858
"RET",3.01995917867565,4.34399571972556,10.3409153473704,1.66261758519289e-10,1.18461502944993e-08,14.1416151717149
"IL13RA2",3.80495871008771,2.97097536886839,10.0921470871682,2.72625331661466e-10,1.7930358351581e-08,13.6495410058314
"BCAM",3.35524446891184,5.20317272000786,9.78557511536301,5.06791379618252e-10,3.09504735409718e-08,13.0319889393411
"TLR4",4.00194057398024,3.58193990143407,9.72599339156627,5.72473203484401e-10,3.26309725986108e-08,12.910526244776
"IL1RL2",4.01908088777585,5.04037661056129,9.67184286667911,6.39773203864995e-10,3.41878805815357e-08,12.7997256129594
"CSF2RB",1.97241949394586,2.02558359437094,9.64051226004942,6.82383742077569e-10,3.43198882044895e-08,12.735439541278
"CD27",1.82527780854652,1.7325788564347,9.5987611469066,7.43753969595022e-10,3.53283135557635e-08,12.6495681366015
"AMHR2",3.045273678935,2.70169579163061,9.3655353314163,1.20819228453708e-09,5.43686528041688e-08,12.165579005812
"IFNGR1",3.16628935400521,4.93668480245416,9.22201086668475,1.63424336605934e-09,6.98639038990369e-08,11.8640911721499
"MERTK",3.4525331259519,4.04630961265272,9.04071980633893,2.40258652057687e-09,9.78195940520581e-08,11.4792766919452
"TLR1",3.65312390427351,3.44720618696079,8.77750450032853,4.23644135494057e-09,1.64643516294281e-07,10.9125957606551
"CNTN1",3.16358356157967,2.75526051161575,8.74265646415598,4.56993349087711e-09,1.69655620422945e-07,10.8368613409375
"C3",3.31141885042826,3.81098085074486,8.70730072517401,4.93593289179307e-09,1.69655620422945e-07,10.7598538249706
"BPI",3.28377919178003,3.91510736428868,8.70500729302731,4.96069065564166e-09,1.69655620422945e-07,10.7548526487698
"MPO",2.75538346297996,2.2121805990039,8.45473165847281,8.59969782760396e-09,2.82797755484669e-07,10.2047656481017
"TLR6",2.94815147378887,2.54614993624186,8.29388898180833,1.23012161617288e-08,3.8953851178808e-07,9.8467269693953
"PRKCB",2.64827789778041,4.06463843628952,8.26315885360608,1.31771247000492e-08,3.96409367529743e-07,9.77791964805676
"PTPRC",2.15084407162043,2.41505522742371,8.25416300692278,1.34454639279094e-08,3.96409367529743e-07,9.75775285762693
"IGFBP2",-1.45314899305992,5.09444974720721,-8.19850292692717,1.52352792221505e-08,4.3420545783129e-07,9.63272980266869
"IFNGR2",2.29241759562778,6.39595227317203,7.74808120038509,4.25234915358841e-08,1.17282533107035e-06,8.60558285570477
"BACE1",2.14970107364535,3.02376881659182,7.29201709853089,1.23534590298014e-07,3.30068983452506e-06,7.53814492371847
"CD274",2.6522319310164,2.45069417681969,7.15465899783688,1.71223953610304e-07,4.43625697990332e-06,7.21141548064632
"TLR3",2.33074898448253,3.61736512403075,7.0774801864304,2.05911157998211e-07,5.17806000260207e-06,7.02679977121594
"ITGAL",1.77461174375787,1.90473344153405,7.04896980168533,2.20473789460819e-07,5.38585971397144e-06,6.95841593804937
"IL16",1.50363634680335,2.26323771585287,6.22053358870718,1.67520579028124e-06,3.97861375191795e-05,4.93055484045995
"CXCL5",1.98489173831238,1.75807966329193,6.12817344462572,2.11013883213677e-06,4.87613162561334e-05,4.70002984729924
"CD4",1.04896961501451,1.34466995608867,6.01864317690746,2.77761021606221e-06,6.24962298613998e-05,4.4256494055016
"EMP3",1.18274521647272,1.66961774054654,5.94309402031132,3.35965194825827e-06,7.36539080964314e-05,4.2357941627846
"ANG",-1.13645694662935,2.77990551574975,-5.81538882829739,4.63955552635029e-06,9.91704993757375e-05,3.91383089459286
"PLA2G10",-0.896675499127305,3.6794042017231,-5.62813321330484,7.46669752293871e-06,0.0001509810136121,3.43959804384432
"CD3E",1.34275189278263,1.40763031405588,5.62189664502217,7.58633885982064e-06,0.0001509810136121,3.42376411526205
"MAPK7",-1.07019187691473,0.864896435030108,-5.62154216223511,7.59319717581324e-06,0.0001509810136121,3.42286405279637
"IL10RA",1.04078000200262,1.34643789617168,5.60947523834842,7.83044058554078e-06,0.000151367930935912,3.39222053483174
"FCMR",1.80827291277268,1.38660898549622,5.6027091716752,7.96673320715327e-06,0.000151367930935912,3.37503450941577
"PDGFA",-0.918579705156108,2.03129506065948,-5.49549822268041,1.04766619441309e-05,0.000194729260048521,3.10236510367602
"TNFRSF21",1.67858664003732,6.24544008332274,5.41175544926526,1.29829189517153e-05,0.00023617863199397,2.88896308502869
"TNFRSF17",1.44446290048771,1.18690971603114,5.36635709794832,1.45865643995601e-05,0.000259823178367164,2.7731384415826
"PTPN7",1.27505896435419,1.62129590080143,5.32715993085931,1.61312795281863e-05,0.000280739794629928,2.67306552932
"FBLN5",0.757723527020092,2.03035420933509,5.32031412331295,1.64175318497034e-05,0.000280739794629928,2.65558154719801
"TRAF1",1.25320841315739,1.17388525885533,5.2566559285958,1.93373818518107e-05,0.000324185519280355,2.49291930789552
"BAG1",-0.657805634745037,3.15058708066372,-5.22849304106105,2.07911710764533e-05,0.000341854832122452,2.42091318640871
"CDH1",-0.921133225358711,5.37823403700248,-5.13705128582629,2.63156394977251e-05,0.000424525882463301,2.18696518020592
"IL2RG",1.32050783502869,2.01264193753723,5.11280166299823,2.80143537490783e-05,0.000443560601027074,2.12489124134924
