"","dynamicColors","mergedColors"
"ZFP14","blue","lightcyan"
"ZFP82","brown","greenyellow"
"ZNF566","blue","lightcyan"
"ZNF260","blue","lightcyan"
"ZNF529","blue","lightcyan"
"ZNF461","brown","greenyellow"
"ZNF567","blue","lightcyan"
"ZNF850","brown","greenyellow"
"ZNF790","brown","greenyellow"
"ZNF345","brown","greenyellow"
"ZNF829","brown","greenyellow"
"ZNF568","brown","greenyellow"
"ZNF420","blue","lightcyan"
"ZNF585A","blue","lightcyan"
"ZNF585B","blue","lightcyan"
"ZNF383","blue","lightcyan"
"ZNF875","blue","lightcyan"
"ZNF527","blue","lightcyan"
"ZNF569","brown","greenyellow"
"ZNF570","brown","greenyellow"
"ZNF793","brown","greenyellow"
"ZNF540","brown","greenyellow"
"ZNF571","blue","lightcyan"
"ZFP30","blue","lightcyan"
"ZNF607","blue","lightcyan"
"ZNF573","blue","lightcyan"
"SIPA1L3","grey60","lightyellow"
"SPINT2","grey60","lightyellow"
"PPP1R14A","brown","greenyellow"
"AC011479.1","grey","grey"
"YIF1B","magenta","lightyellow"
"C19orf33","grey","grey"
"KCNK6","grey","grey"
"PSMD8","magenta","lightyellow"
"GGN","pink","greenyellow"
"SPRED3","pink","greenyellow"
"FAM98C","grey60","lightyellow"
"RASGRP4","purple","purple"
"RYR1","grey","grey"
"MAP4K1","red","purple"
"EIF3K","magenta","lightyellow"
"ACTN4","grey60","lightyellow"
"CAPN12","grey","grey"
"LGALS7B","darkred","darkred"
"LGALS4","grey","grey"
"ECH1","grey","grey"
"HNRNPL","black","lightyellow"
"RINL","grey","grey"
"SIRT2","grey60","lightyellow"
"NFKBIB","grey60","lightyellow"
"SARS2","magenta","lightyellow"
"MRPS12","magenta","lightyellow"
"FBXO17","brown","greenyellow"
"FBXO27","brown","greenyellow"
"PAK4","grey60","lightyellow"
"NCCRP1","darkred","darkred"
"LRFN1","grey","grey"
"GMFG","red","purple"
"SAMD4B","grey60","lightyellow"
"PAF1","grey60","lightyellow"
"MED29","grey60","lightyellow"
"ZFP36","grey","grey"
"PLEKHG2","greenyellow","greenyellow"
