"","dynamicColors","mergedColors"
"C18orf25","blue","lightcyan"
"PIAS2","blue","lightcyan"
"KATNAL2","grey","grey"
"HDHD2","blue","lightcyan"
"IER3IP1","yellow","lightyellow"
"SMAD2","blue","lightcyan"
"ZBTB7C","grey","grey"
"CTIF","brown","greenyellow"
"SMAD7","pink","greenyellow"
"DYM","blue","lightcyan"
"C18orf32","grey","grey"
"RPL17","midnightblue","midnightblue"
"LIPG","grey","grey"
"ACAA2","grey","grey"
"MYO5B","green","lightcyan"
"CFAP53","grey","grey"
"MBD1","turquoise","lightcyan"
"CXXC1","turquoise","lightcyan"
"SKA1","yellow","lightyellow"
"MAPK4","brown","greenyellow"
"ME2","green","lightcyan"
"ELAC1","blue","lightcyan"
"SMAD4","blue","lightcyan"
"MEX3C","blue","lightcyan"
"MBD2","grey","grey"
"POLI","blue","lightcyan"
"C18orf54","yellow","lightyellow"
"RAB27B","lightcyan","lightcyan"
"CCDC68","lightcyan","lightcyan"
"TCF4","greenyellow","greenyellow"
"TXNL1","grey","grey"
"WDR7","blue","lightcyan"
"ONECUT2","grey","grey"
"FECH","blue","lightcyan"
"ATP8B1","green","lightcyan"
"NEDD4L","turquoise","lightcyan"
"ALPK2","red","purple"
"MALT1","blue","lightcyan"
"ZNF532","cyan","greenyellow"
"SEC11C","grey","grey"
"GRP","brown","greenyellow"
"LMAN1","blue","lightcyan"
"PMAIP1","yellow","lightyellow"
"RNF152","greenyellow","greenyellow"
"PIGN","green","lightcyan"
"RELCH","blue","lightcyan"
"TNFRSF11A","grey","grey"
"ZCCHC2","blue","lightcyan"
"PHLPP1","turquoise","lightcyan"
"BCL2","red","purple"
"KDSR","blue","lightcyan"
"VPS4B","green","lightcyan"
"SERPINB5","grey","grey"
"SERPINB7","grey","grey"
"SERPINB2","darkred","darkred"
"SERPINB8","lightcyan","lightcyan"
"CDH19","brown","greenyellow"
"DSEL","brown","greenyellow"
"TMX3","blue","lightcyan"
"CCDC102B","greenyellow","greenyellow"
"DOK6","brown","greenyellow"
"CD226","red","purple"
"RTTN","blue","lightcyan"
"SOCS6","blue","lightcyan"
"TIMM21","green","lightcyan"
"CYB5A","grey","grey"
"DIPK1C","grey","grey"
"CNDP2","green","lightcyan"
"ZNF407","blue","lightcyan"
"ZADH2","blue","lightcyan"
"TSHZ1","brown","greenyellow"
"ZNF516","cyan","greenyellow"
"ZNF236","blue","lightcyan"
"MBP","blue","lightcyan"
"ATP9B","blue","lightcyan"
"NFATC1","red","purple"
"CTDP1","turquoise","lightcyan"
"SLC66A2","turquoise","lightcyan"
"HSBP1L1","brown","greenyellow"
"TXNL4A","yellow","lightyellow"
"RBFA","grey","grey"
"ADNP2","green","lightcyan"
"PARD6G","brown","greenyellow"
"PLPP2","grey","grey"
"MIER2","black","lightyellow"
"C2CD4C","brown","greenyellow"
"SHC2","brown","greenyellow"
"MADCAM1","red","purple"
"TPGS1","black","lightyellow"
"CDC34","black","lightyellow"
"GZMM","red","purple"
"BSG","black","lightyellow"
"HCN2","grey","grey"
"POLRMT","black","lightyellow"
"RNF126","black","lightyellow"
"FSTL3","pink","greenyellow"
"PALM","brown","greenyellow"
"MISP","grey","grey"
"PTBP1","black","lightyellow"
"CFD","brown","greenyellow"
"MED16","black","lightyellow"
"R3HDM4","black","lightyellow"
"KISS1R","grey","grey"
"ARID3A","salmon","lightyellow"
"WDR18","black","lightyellow"
"TMEM259","black","lightyellow"
"CNN2","pink","greenyellow"
"ABCA7","turquoise","lightcyan"
"POLR2E","black","lightyellow"
"GPX4","midnightblue","midnightblue"
"SBNO2","black","lightyellow"
"STK11","black","lightyellow"
"CBARP","grey","grey"
"ATP5F1D","midnightblue","midnightblue"
"MIDN","black","lightyellow"
"CIRBP","brown","greenyellow"
"FAM174C","midnightblue","midnightblue"
"EFNA2","grey","grey"
"PWWP3A","turquoise","lightcyan"
"NDUFS7","midnightblue","midnightblue"
"GAMT","brown","greenyellow"
"DAZAP1","black","lightyellow"
"RPS15","midnightblue","midnightblue"
"APC2","turquoise","lightcyan"
"C19orf25","black","lightyellow"
"PCSK4","grey","grey"
"REEP6","grey","grey"
"ADAMTSL5","grey","grey"
"MEX3D","black","lightyellow"
"MBD3","black","lightyellow"
"UQCR11","midnightblue","midnightblue"
"TCF3","black","lightyellow"
"ONECUT3","grey","grey"
"ATP8B3","grey","grey"
"REXO1","black","lightyellow"
"KLF16","black","lightyellow"
"ABHD17A","black","lightyellow"
"SCAMP4","black","lightyellow"
"ADAT3","black","lightyellow"
"CSNK1G2","black","lightyellow"
"BTBD2","black","lightyellow"
"MKNK2","turquoise","lightcyan"
"MOB3A","red","purple"
"IZUMO4","grey","grey"
"AP3D1","black","lightyellow"
"DOT1L","black","lightyellow"
"PLEKHJ1","magenta","lightyellow"
"SF3A2","black","lightyellow"
"AMH","grey","grey"
"JSRP1","grey","grey"
"OAZ1","midnightblue","midnightblue"
"PEAK3","red","purple"
"LINGO3","red","purple"
"LSM7","midnightblue","midnightblue"
"SPPL2B","turquoise","lightcyan"
"TIMM13","midnightblue","midnightblue"
"LMNB2","black","lightyellow"
"GADD45B","brown","greenyellow"
"GNG7","brown","greenyellow"
"DIRAS1","brown","greenyellow"
"SLC39A3","black","lightyellow"
"SGTA","black","lightyellow"
"THOP1","black","lightyellow"
"ZNF554","blue","lightcyan"
"ZNF555","blue","lightcyan"
"ZNF57","green","lightcyan"
"ZNF77","green","lightcyan"
"TLE6","grey","grey"
"TLE2","brown","greenyellow"
"TLE5","black","lightyellow"
"GNA11","black","lightyellow"
"GNA15","darkred","darkred"
"S1PR4","red","purple"
"NCLN","black","lightyellow"
"NFIC","brown","greenyellow"
"SMIM24","grey","grey"
"DOHH","black","lightyellow"
"FZR1","black","lightyellow"
"MFSD12","black","lightyellow"
"C19orf71","turquoise","lightcyan"
"HMG20B","black","lightyellow"
